Date,Daily change in deaths,Cumulative,deathAvg
06/03/2020,,1,
07/03/2020,1,2,
08/03/2020,0,2,
09/03/2020,1,3,
10/03/2020,4,7,
11/03/2020,0,7,
12/03/2020,2,9,1.333333333
13/03/2020,1,10,1.285714286
14/03/2020,18,28,3.714285714
15/03/2020,14,42,5.714285714
16/03/2020,22,64,8.714285714
17/03/2020,15,79,10.28571429
18/03/2020,33,112,15
19/03/2020,42,154,20.71428571
20/03/2020,32,186,25.14285714
21/03/2020,54,240,30.28571429
22/03/2020,24,264,31.71428571
23/03/2020,67,331,38.14285714
24/03/2020,143,474,56.42857143
25/03/2020,177,651,77
26/03/2020,169,820,95.14285714
27/03/2020,272,1092,129.4285714
28/03/2020,279,1371,161.5714286
29/03/2020,195,1566,186
30/03/2020,353,1919,226.8571429
31/03/2020,368,2287,259
01/04/2020,613,2900,321.2857143
02/04/2020,603,3503,383.2857143
03/04/2020,655,4158,438
04/04/2020,689,4847,496.5714286
05/04/2020,578,5425,551.2857143
06/04/2020,532,5957,576.8571429
07/04/2020,1010,6967,668.5714286
08/04/2020,924,7891,713
09/04/2020,987,8878,767.8571429
10/04/2020,1038,9916,822.5714286
11/04/2020,745,10661,830.5714286
12/04/2020,606,11267,834.5714286
13/04/2020,694,11961,857.7142857
14/04/2020,1010,12971,857.7142857
15/04/2020,732,13703,830.2857143
16/04/2020,907,14610,818.8571429
17/04/2020,826,15436,788.5714286
18/04/2020,1011,16447,826.5714286
19/04/2020,384,16831,794.8571429
20/04/2020,539,17370,772.7142857
21/04/2020,1122,18492,788.7142857
22/04/2020,739,19231,789.7142857
23/04/2020,603,19834,746.2857143
24/04/2020,824,20658,746
25/04/2020,741,21399,707.4285714
26/04/2020,343,21742,701.5714286
27/04/2020,307,22049,668.4285714
28/04/2020,869,22918,632.2857143
29/04/2020,632,23550,617
30/04/2020,560,24110,610.8571429
01/05/2020,653,24763,586.4285714
02/05/2020,519,25282,554.7142857
03/05/2020,246,25528,540.8571429
04/05/2020,257,25785,533.7142857
05/05/2020,656,26441,503.2857143
06/05/2020,567,27008,494
07/05/2020,424,27432,474.5714286
